SampleID,Site,Datetime,Temperature,SpC,DO,pH,TDS,Turbidity,ANC_H,ANC_CACO3,Al,Ca,Fe,K,Mg,Mn,Na,Si,Sr,Fl,Chloride,Br,Nitrate,Phosphate_P,Sulfate,Ammonium_N,Nitrate_plus_Nitrite_N,TP,TN,DOC,FI,HIX,FDOM_lab,d2H,d18O
WG0070,glacier_hut,10/13/19 9:48,1.2,73.91,,5.92,,,539.08,26.98,0,13.63,0.01,0.18,0.66,0,1.12,0.66,0.06,,0.28,,0.02,0.04,8.86,0,0.01,0.01,0,0.58,1.57,0.07,0.75,-126.104,-16.86
WG0071,glacier_lake,10/13/19 10:40,0.3,52.1,,5.68,,,217.49,10.88,0,8.33,0.02,0.12,0.59,0,1.08,0.35,0.04,,0.18,,0.02,0.04,10.75,0,0.01,0.01,0,0.39,2.11,0.36,0.36,-123.043,-16.036
WG0072,Tundra,10/13/19 12:45,0.3,35.57,,5.8,,,271.13,13.57,0,6.21,0,0.08,0.17,0,1.08,0.68,0.04,,0.38,,0.01,0.04,2.67,0,0.01,0.04,0,0.77,1.3,0.91,3.61,-117.23,-15.632
WG0073,Tundra,10/13/19 13:20,1.3,33.96,,5.68,,,257.45,12.88,0,5.98,0.01,0.07,0.17,0,0.98,0.67,0.04,,0.39,,0.01,0.03,2.59,0,0.01,0.04,0,0.86,1.26,0.92,3.57,-118.111,-15.947
WG0074,glacier_lake,10/10/19 18:12,0.2,46.66,,5.73,,,207.15,10.37,0.01,7.34,0.03,0.11,0.58,0,0.89,0.29,0.04,,0.2,,0.02,0.04,10.41,0,0.01,0.01,0,0.66,1.96,0.36,0.31,-126.971,-17.628
WG0075,glacier_hut,5/9/20 12:00,,91.07,,5.87,,,682.48,34.15,0.01,16.78,0.01,0.19,0.49,0,0.82,0.88,0.07,0,0.49,0,0.04,0,11.9,0,0.03,0,0.05,0.83,1.26,0.32,2.74,-134.74,-18.143
WG0076,Tundra,5/9/20 13:45,,37.01,,5.79,,,297.41,14.88,0.01,6.58,0,0.05,0.16,0,0.59,0.89,0.03,0,0.44,0,0.02,0,2.77,0,0.01,0,0.03,1.23,1.3,0.93,5.68,,
WG0077,Forest North,5/9/20 15:45,,26.52,,5.74,,,227.73,11.4,0.02,4.82,0,0.05,0.11,0,0.45,0.69,0.01,0,0.48,0,0.01,0,1.26,0,0.01,0,0.02,1.77,1.22,0.77,11.36,-118.906,-16.571
WG0078,shrub_creek,5/9/20 16:50,,33.46,,5.76,,,281.81,14.1,0.02,6.29,0.01,0.06,0.14,0,0.44,0.9,0.02,0.02,0.37,0,0.12,0.01,1.9,0,0.12,0,0.16,1.73,1.26,0.75,14.89,-130.088,-17.532
WG0079,stream_gauge,5/9/20 17:10,,52.15,,5.84,,,413.04,20.67,0.02,9.87,0.01,0.13,0.23,0,0.5,0.66,0.04,0.01,0.41,0,0.03,0,5.12,0,0.03,0.01,0.04,1.24,1.26,0.89,4.26,-127.372,-17.201
WG0079b,shrub_creek,5/14/20 10:10,,36.63,,5.81,,,308.48,15.44,0.01,6.87,0,0.06,0.16,0,0.46,0.91,0.03,0,0.34,0,0.05,0.01,2.33,0,0.05,0,0.07,1.41,1.33,0.93,7.1,-131.934,-17.762
WG0080,stream_gauge,5/14/20 12:00,,43.61,,5.81,,,334.5,16.74,0.03,8.14,0.03,0.11,0.21,0,0.46,0.6,0.03,0.01,0.4,0,0.03,0,4.27,0,0.02,0,0.04,0.86,1.35,0.84,2.29,-130.477,-17.674
WG0081,glacier_hut,5/14/20 13:05,,75.7,,5.89,,,511.45,25.6,0.02,13.97,0.02,0.17,0.43,0,0.72,0.78,0.06,0.01,0.48,0,0.04,0,11.1,0,0.04,0,0.05,0.75,1.38,0.5,0.6,-136.722,-18.582
WG0082,Forest North,5/14/20 14:05,,35.92,,5.83,,,313.23,15.68,0.01,6.72,0,0.05,0.15,0,0.49,0.8,0.02,0.01,0.41,0,0.01,0,1.87,0,0.01,0,0.02,1.21,1.26,0.94,6.42,-119.222,-16.553
WG0082b,Nellie_Juan,5/14/20 17:20,,52.15,,5.84,,,385.27,19.28,0.02,9.32,0.02,0.17,0.42,0,0.73,0.88,0.04,0.01,0.66,0,0.06,0,5.87,0,0.05,0,0.06,0.97,1.29,0.81,3.67,-120.391,-16.645
WG0083,glacier_hut,6/10/20 10:30,,92.56,,5.78,,,366.09,18.32,0.04,14.72,0.04,0.28,0.88,0,0.89,0.55,0.09,0,0.35,0,0.02,0,23.18,0,0.02,0,0.03,0.37,1.3,0.66,1.87,-138.955,-18.886
WG0084,shrub_creek,6/10/20 13:00,,36.17,,5.81,,,302.01,15.11,0,6.57,0,0.05,0.14,0,0.41,0.82,0.02,0,0.19,0,0,0,2.54,0,0,0,0.02,0.42,1.32,0.91,3.38,-131.825,-17.745
WG0085,stream_gauge,6/10/20 14:30,,61.6,,5.77,,,269.12,13.47,0.02,10.27,0.02,0.17,0.45,0,0.55,0.42,0.05,0,0.29,0,0.01,0,13.07,0,0.01,0,0.04,0.54,1.41,0.58,0.64,-133.483,-17.785
WG0086,Tundra,6/10/20 16:00,,22.42,,5.61,,,176.65,8.84,0,3.84,0,0.04,0.1,0,0.35,0.57,0.02,0,0.24,0,0,0,1.73,0,0,0,0.03,0.42,1.2,0.85,8.56,-127.695,-17.35
WG0087,Forest North,6/10/20 17:45,,25.46,,5.73,,,233.24,11.67,0.01,4.75,0,0.05,0.09,0,0.33,0.6,0.01,0,0.21,0,0,0,1.26,0,0,0,0.03,0.34,1.27,0.91,2.89,-116.86,-16.057
WG0088,shrub_creek,6/30/20 10:40,,37.53,,5.8,,,327.53,16.39,0,7.22,0,0.04,0.15,0,0.4,0.82,0.03,0,0.14,0,0,0,2.79,0,0,0,0.03,,1.4,0.93,3.04,,
WG0089,stream_gauge,6/30/20 11:55,,32.81,,5.72,,,202.58,10.14,0.02,5.68,0.02,0.09,0.23,0,0.31,0.25,0.02,0,0.24,0,0.01,0,5.02,0,0.01,0,0.08,0.84,1.95,0.51,0.25,-129.616,-17.679
WG0090,glacier_hut,6/30/20 13:46,,32.25,,5.69,,,171.8,8.6,0,5.17,0,0.09,0.26,0,0.34,0.19,0.02,0,0.27,0,0.01,0,5.71,0,0.01,0,0.02,0.62,1.54,0.34,0.14,-131.867,-18.056
WG0091,Tundra,6/30/20 18:14,,21.71,,5.69,,,177.16,8.87,0,3.84,0,0.04,0.1,0,0.36,0.55,0.02,0,0.19,0,0,0,1.74,0,0,0,0.02,0.56,1.31,0.85,1.48,-122.036,-16.616
WG0092,Forest North,6/30/20 19:17,,37.18,,5.81,,,346.06,17.32,0.01,7.18,0,0.06,0.15,0,0.44,0.84,0.02,0,0.22,0,0.01,0,1.73,0,0.01,0,0.02,0.8,1.35,0.94,4.3,-111.472,-15.392
WG0093,Nellie_Juan,6/30/20 19:43,,33.86,,5.49,,,182.45,9.13,0.01,4.97,0.01,0.1,0.33,0,0.46,0.31,0.05,0,0.23,0,0,0,5.93,0,0.01,0,0.02,0.87,1.52,0.59,0.32,-113.089,-15.318
WG0094,Tundra,9/5/20 11:20,,38.01,,5.78,,,316.76,15.85,0.01,6.41,0,0.05,0.17,0,0.63,0.96,0.05,0,0.23,0,0,0,2.93,0,0.01,0,0.05,0.65,1.31,0.95,2.71,,
WG0095,Forest North,9/5/20 13:10,,47.67,,5.88,,,445.75,22.31,0.01,8.57,0.01,0.07,0.19,0,0.69,1.25,0.05,0,0.38,0,0.01,0,2.31,0,0.01,0,0.04,0.98,1.34,0.97,10.74,-111.7,-15.188
WG0096,Nellie_Juan,9/5/20 15:00,,52.25,,5.82,,,338.94,16.96,0.02,8.52,0.01,0.18,0.49,0,0.65,0.64,0.06,0,0.39,0,0.01,0,8.23,0,0.01,0.01,0.03,0.56,1.4,0.8,1.49,-118.714,-15.954
WG0097,glacier_hut,9/5/20 16:20,,60.08,,5.9,,,494.53,24.75,0.01,11.26,0,0.14,0.33,0,0.54,0.89,0.06,0,0.19,0,0,0,6.39,0,0,0,0.01,0.45,1.63,0.65,0.72,-125.671,-16.771
WG0098,stream_gauge,9/9/20 13:00,,33.71,,5.75,,,207.03,10.36,0.01,5.51,0.01,0.08,0.27,0,0.3,0.22,0.03,0,0.16,0,0,0,5.75,0,0,0,0.02,0.35,1.56,0.52,0.5,-122.386,-16.616
WG0099,shrub_creek,9/9/20 14:00,,68.09,,5.87,,,619.05,30.98,0.01,12.1,0,0.07,0.27,0,0.74,1.35,0.07,0,0.23,0,0.02,0,4.43,0,0.02,0,0.06,0.98,1.38,0.96,9.09,-118.831,-15.634
WG0100,Forest,9/9/20 16:20,,62.17,,5.94,,,597.88,29.92,0.03,11.1,0.01,0.14,0.41,0,1.05,1.66,0.08,0,0.59,0,0,0,2.77,0.02,0,0.01,0.08,1.58,1.31,0.96,13.44,-108.59,-14.743
WG0101,glacier_hut,9/9/20 20:20,,45.58,,5.83,,,372.01,18.62,0.01,7.91,0,0.1,0.24,0,0.37,0.65,0.04,0,0.13,0,0,0,4.33,0,0,0,0,0.41,1.32,0.61,0.56,-123.03,-16.403
WG0102,glacier_hut,9/10/20 10:05,,71.34,,5.92,,,611.47,30.6,0.01,12.69,0,0.15,0.39,0,0.66,1.13,0.07,0,0.22,0,0,0,6.64,0,0,0.01,0.01,0.48,1.52,0.76,1.06,,
WG0103,glacier_hut,9/10/20 19:12,,39.34,,5.82,,,323.21,16.17,0,6.73,0,0.09,0.2,0,0.31,0.55,0.03,0,0.12,0,0,0,3.67,0,0,0,0.01,0.48,1.35,0.61,0.49,-122.648,-16.461
WG0104,glacier_hut,9/11/20 10:15,,72.12,,5.95,,,630.3,31.54,0,13.49,0,0.15,0.4,0,0.68,1.16,0.07,0,0.21,0,0,0,6.52,0,0,0,0.01,0.39,1.45,0.8,1.08,-123.512,-16.364
WG0105,glacier_hut,9/10/21 19:05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.67,0.27,5.06,-121.749,-16.385
WG0106,glacier_hut,9/12/20 11:35,,73.46,,5.95,,,649.56,32.51,0,13.33,0,0.15,0.4,0,0.68,1.17,0.07,0,0.22,0,0,0,6.31,0,0,0,0.01,0.46,1.61,0.57,0.96,-124.777,-16.523
WG0107,Pure Subglacial (near Glacier Hut),9/12/20 18:40,,14.42,,5.71,,,145.08,7.26,0.04,2.43,0.04,0.14,0.08,0,0.05,0.12,0.01,0,0.12,0,0,0,0.5,0.01,0,0,0.03,0.34,1.02,0.26,0.43,-119.033,-16.336
WG0108,glacier_hut,9/12/20 19:00,,36.55,,5.78,,,316.19,15.82,0.01,6.64,0.01,0.09,0.19,0,0.29,0.49,0.03,0,0.1,0,0,0,3.27,0,0,0,0.01,0.3,,,,-122.173,-16.754
WG0109,Pure Subglacial (near Glacier Hut),9/13/20 11:09,,27.12,,5.5,,,261.54,13.09,0.02,4.43,0.01,0.22,0.11,0,0.08,0.12,0.02,0,0.04,0,0,0,1.07,0,0,0,0.01,0.28,0.92,0.33,0.26,-117.276,-15.963
WG0110,Pure Subglacial (near Glacier Hut),9/13/20 11:19,,24.71,,5.7,,,243.55,12.19,0.02,4.42,0.01,0.22,0.11,0,0.09,0.12,0.02,0,0.04,0,0,0,1.02,0,0,0,0,0.38,1.48,-0.04,0.11,-117.878,-16.032
WG0111,Pure Subglacial (near Glacier Hut),9/13/20 11:28,,22.67,,5.7,,,219.42,10.98,0.02,4.06,0.02,0.21,0.11,0,0.08,0.13,0.02,0,0.04,0,0,0,0.94,0,0,0,0.01,0.45,0.92,0.18,0.11,-117.852,-16.065
WG0112,glacier_hut,9/13/20 11:50,,70.91,,5.89,,,627.53,31.4,0.01,12.99,0,0.15,0.39,0,0.65,1.12,0.07,0,0.23,0,0,0,5.97,0,0,0.01,0.01,0.46,1.46,0.62,0.88,-124.517,-16.672
WG0113,glacier_lake,9/13/20 12:45,,24,,5.74,,,196.25,9.82,0,4.06,0,0.06,0.12,0,0.17,0.28,0.02,0,0.07,0,0,0,2.19,0,0,0,0.01,0.28,1.22,0.45,0.23,-121.853,-16.566
WG0114,mid_gw,9/11/20 14:00,,69.63,,5.9,,,591.07,29.58,0,12.68,0,0.46,0.25,0,0.84,1.08,0.07,0,0.51,0,0,0,6.5,0.05,0,0.01,0.17,0.64,1.51,0.18,2.37,-116.438,-15.414
WG0115,glacier_lake,9/11/20 10:45,,26.26,,5.75,,,207.36,10.38,0,4.33,0,0.06,0.13,0,0.19,0.31,0.02,0,0.1,0,0,0,2.5,0,0,0,0,0.21,1.25,0.74,0.33,-121.865,-16.524
WG0116,Nellie_Juan,10/16/20 12:30,,58.17,,5.82,,,357.64,17.9,0.03,9.6,0.02,0.16,0.44,0,0.57,0.44,0.06,0,0.34,0,0.01,0,10.43,0,0.01,0,0.02,0.3,1.33,0.6,0.95,-123.599,-16.985
WG0117,glacier_lake,10/16/20 16:47,,95.47,,5.98,,,765.69,38.32,0.01,16.88,0,0.38,0.72,0,0.74,0.94,0.08,0,0.23,0,0,0,11.19,0,0,0,0,0.31,1.34,0.4,0.36,-121.969,-16.065
WG0118,Nellie_Juan,10/19/20 12:00,,76.71,,5.91,,,495.43,24.79,0.02,12.25,0.02,0.24,0.72,0,0.95,1.02,0.08,0,0.62,0,0.03,0,11.93,0,0.04,0,0.07,0.18,1.34,0.82,2.77,-115.56,-15.733
WG0119,Tundra,10/19/20 18:00,,68.23,,5.76,,,386.63,19.35,0.03,10.44,0.02,0.17,0.49,0,0.62,0.45,0.07,0,0.3,0,0,0,12.19,0,0,0,0,0.36,1.18,0.72,0.75,-125.821,-18.016
WG0120,shrub_creek,10/19/20 13:50,,62.85,,5.92,,,556.71,27.86,0.01,11.26,0,0.08,0.26,0,0.68,1.37,0.06,0,0.24,0,0.03,0,4.17,0,0.04,0.01,0.07,0.75,1.36,0.85,7.9,-117.697,-16.444
WG0121,stream_gauge,10/19/20 15:25,,71.77,,5.88,,,477.99,23.92,0.03,11.51,0.03,0.32,0.68,0,0.91,1.01,0.07,0,0.56,0,0.03,0,10.85,0,0.04,0.01,0.06,0.59,1.34,0.72,3.52,-115.678,-16.302
WG0122,shrub_creek,10/16/20 14:10,,59.05,,5.92,,,525.4,26.29,0.01,10.6,0,0.08,0.24,0,0.66,1.38,0.06,0,0.26,0,0.03,0,3.78,0,0.04,0,0.07,1,1.4,0.9,7.72,-117.482,-15.819
WG0123,Nellie_Juan,5/13/21 15:05,,51.31,,6.12,,,387.61,19.4,0.02,9.71,0,0.08,0.46,0,0.68,1.11,0.05,0,0.92,0,0.1,0,5.17,0,0.11,0.01,0.13,1.07,1.28,0.86,8.11,-116.032,-15.584
WG0124,stream_gauge,5/13/21 19:05,,65.36,,6.25,,,537.53,26.9,0.01,13.53,0,0.16,0.35,0,0.62,0.88,0.07,0,0.83,0,0.04,0,6.97,0,0.06,0.01,0.07,0.92,1.35,0.91,5.33,,
WG0125,glacier_lake,5/14/21 11:40,,68.52,,6.23,,,517.75,25.91,0.01,13.95,0,0.12,0.43,0,0.69,0.75,0.06,0,0.8,0,0.03,0,9.24,0,0.04,0,0.04,0.3,1.66,1.34,0.3,,
WG0126,glacier_hut,5/14/21 12:40,,75.39,,6.27,,,609.34,30.49,0.01,15.21,0,0.13,0.47,0,0.65,0.95,0.07,0,0.78,0,0.02,0,8.73,0,0.03,0,0.04,0.67,1.47,0.31,1.13,,
WG0127,Tundra,5/14/21 17:15,,42.6,,6.19,,,360.85,18.06,0.01,8.58,0,0.01,0.22,0,0.65,1.19,0.05,0,0.7,0,0,0,2.92,0,0.01,0.01,0.03,0.89,1.31,0.96,5.57,,
WG0128,glacier_lake,5/15/21 8:20,,67.75,,6.23,,,503.38,25.19,0.01,13.5,0,0.08,0.42,0,0.66,0.74,0.06,0,0.82,0,0.03,0,8.95,0,0.03,0,0.05,0.31,1.2,0.77,0.5,,
WG0129,stream_gauge,6/4/21 11:47,,48.49,,6.13,,,307.37,15.38,0.02,8.78,0.01,0.11,0.3,0,0.49,0.51,0.05,0,0.61,0,0.01,0,7.23,0,0.01,0.01,0.03,0.53,,,,-138.324,-19.181
WG0130,shrub_creek,6/4/21 12:00,,31.78,,6.11,,,272.66,13.65,0.01,6.38,0,0.02,0.15,0,0.36,0.88,0.03,0,0.32,0,0.05,0,1.89,0,0.05,0,0.07,0.87,1.32,0.96,7.03,-137.452,-18.768
WG0131,Tundra,6/4/21 2:32,,21.49,,6,,,161.59,8.09,0,3.96,0,0.01,0.12,0,0.39,0.55,0.02,0,0.6,0,0,0,1.61,0,0,0,0.01,0.54,1.3,0.9,4.22,-133.699,-18.043
WG0132,glacier_lake,6/4/21 4:26,,59.9,,6.11,,,303.85,15.21,0.01,10.95,0,0.15,0.47,0,0.71,0.43,0.06,0,0.82,0,0.02,0,12.43,0,0.02,0.01,0.07,0.19,2.45,0.73,0.31,-144.018,-20.117
WG0133,Forest,6/4/21 5:30,,31.54,,6.19,,,258.92,12.96,0.03,5.69,0,0.05,0.22,0,0.51,0.92,0.03,0,0.56,0,0,0,1.28,0,0,0.01,0.01,1.16,1.29,0.89,11.64,-116.846,-16.058
WG0134,Nellie_Juan,6/4/21 5:45,,46.85,,6.13,,,326.69,16.35,0.02,8.68,0.01,0.12,0.44,0,0.59,0.85,0.05,0,0.6,0,0.04,0,5.74,0,0.03,0.01,0.06,0.49,1.25,0.83,3.66,-125.736,-17.177
WG0135,glacier_lake,7/1/21 12:15,,23.8,,5.99,,,131.19,6.57,0.01,3.83,0,0.05,0.21,0,0.37,0.15,0.02,0,0.48,0,0.02,0,3.57,,,,,0.53,1.55,0.61,0.12,-133.826,-18.416
WG0136,Tundra,7/1/21 14:30,,14.44,,5.93,,,112.61,5.64,0,2.6,0,0,0.07,0,0.21,0.4,0.02,0,0.19,0,0,0,1.04,,,,,0.48,1.41,0.79,1.15,-123.096,-16.672
WG0137,Forest,7/1/21 17:30,,35.51,,6.11,,,326.04,16.32,0.01,6.62,0,0.03,0.22,0,0.46,0.92,0.04,0.01,0.4,0,0,0.01,1.67,,,,,0.72,1.26,0.56,2.91,-110.204,-15.212
WG0138,Nellie_Juan,7/1/21 18:10,,38.72,,6.1,,,264.03,13.21,0.01,6.86,0,0.08,0.37,0,0.43,0.51,0.04,0.01,0.39,0,0.02,0,5.08,,,,,0.41,1.25,0.82,0.77,-122.072,-16.815
WG0139,Precipitation Sampler at Tundra,7/1/21 12:00,,5.24,,5.65,,,21.73,1.09,0,0.06,0,0,0.01,0.01,0.05,0,0,0,0.16,0,0.04,0,0.26,,,,,1.98,1.31,0.36,0.23,-133.085,-16.843
WG0140,Precipitation sampler at WX990,7/1/21 12:00,,4.74,,5.47,,,15.22,0.76,0,0.2,0,0.01,0.02,0.01,0.16,0.01,0,0,0.41,0,0.06,0.03,1.1,,,,,3,1.54,0.46,0.32,-145.413,-18.303
WG0141,Nellie_Juan,9/7/21 12:05,,41.75,,6.09,,,264.11,13.22,0.01,8.19,0,0.11,0.47,0,0.44,0.5,0.05,0.01,0.25,0,0.01,0,6.97,0,0,0,0.02,0.34,1.4,0.83,0.53,-120.062,-16.328
WG0142,Forest,9/7/21 14:10,,59.27,,6.5,,,560.98,28.07,0.02,11.93,0,0.03,0.41,0,0.82,1.59,0.07,0.01,0.53,0.05,0,0,2.47,0,0,0,0.03,1.22,1.34,0.91,7.13,-111.764,-15.267
WG0143,shrub_creek,9/7/21 16:01,,61.16,,6.88,,,518.05,25.93,0.01,12.2,0,0,0.26,0,0.58,1.27,0.06,0.01,0.15,0.04,0.02,0.02,4.3,0,0.01,0.01,0.04,0.71,1.47,0.93,4.35,-123.063,-16.08
WG0144,stream_gauge,9/7/21 17:00,,13.62,,5.95,,,78.75,3.94,0,4.39,0,0.02,0.21,0,0.16,0.14,0.02,0,0.09,0.05,0.01,0,4.21,0,0,0,0.01,0.27,1.56,0.51,0.33,-124.623,-16.957
WG0145,glacier_hut,9/8/21 10:40,,20.99,,6,,,162.29,8.12,0,3.99,0,0,0.1,0,0.11,0.27,0.02,0,0.04,0.05,0,0,1.88,0,0,0,0,0.21,1.27,0.55,0.19,-123.826,-16.604
WG0146,Precipitation Sampler at Stream Gage,9/7/21 12:00,,4.55,,5.31,,,5.44,0.27,0,0.06,0,0,0.01,0.01,0.04,0,0,0,0.15,0.05,0.01,0,0.23,0,0,0,0.02,3.32,1.73,0.42,1.35,-132.816,-17.185
WG0147,Precipitation sampler at WX990,9/7/21 12:00,,6.42,,4.97,,,-5.24,-0.26,0,0.02,0,0,0.01,0,0.04,0,0,0.02,0.31,0.05,0.05,0,0.35,0,0.04,0,0.08,1.93,1.28,0.55,0.3,-121.006,-16.324
WG0148,Precipitation Sampler at Tundra,9/7/21 12:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WG0149,Nellie_Juan,9/26/21 16:05,,67.42,,6.18,,,455.16,22.78,0.01,12.26,0,0.14,0.64,0,0.69,1.02,0.07,0,0.59,0,0.06,0,9.36,0,0.04,0,0.05,0.64,1.3,0.86,2.91,,
WG0150,Forest,9/26/21 17:48,,52.34,,6.24,,,474.08,23.73,0.03,10.08,0.01,0.08,0.38,0,0.79,1.67,0.06,0,0.73,0,0,0,1.95,0,0,0,0.03,1.98,1.34,0.88,10.02,-111.05,-15.158
WG0151,glacier_lake,9/27/21 12:06,,114.84,,6.38,,,963.59,48.22,0.01,21.44,0,0.43,1.11,0,0.64,1.15,0.08,0,0.29,0.01,0,0,11.49,0,0,0,0,0.11,1.17,0.51,0.26,-127.12,-16.855
WG0152,Tundra,9/28/21 15:14,,37.61,,6.15,,,293.58,14.69,0,6.68,0,0,0.18,0,0.47,0.94,0.04,0,0.3,0,0,0,2.88,0,0,0,0.01,0.52,1.28,0.63,1.75,-126.29,-17.08
WG0153,stream_gauge,9/29/21 11:25,,69.16,,6.21,,,405.5,20.29,0.01,12.14,0,0.08,0.47,0,0.44,0.45,0.07,0,0.29,0,0.01,0,12.08,0,0,0,0.01,0.29,1.58,0.23,0.73,-117.75,-14.208
WG0154,shrub_creek,9/29/21 11:20,,64.52,,6.35,,,542.06,27.13,0,12.48,0,0.04,0.28,0,0.55,1.38,0.06,0,0.33,0,0.05,0,4.03,0,0.04,0.01,0.06,0.66,1.44,0.1,5.09,-127.79,-17.438
WG0155,Terminus,9/28/21 14:03,,61.08,,6.14,,,322.23,16.13,0.01,10.54,0,0.06,0.52,0,0.45,0.38,0.06,0,0.25,0,0.01,0,11.43,0,0.01,0.01,0.01,0.14,1.54,0.08,0.44,,
WG0156,terminus_gw,9/28/21 13:12,,127.29,,6.41,,,1003.13,50.2,0,24.48,0,0.15,0.46,0,0.65,1.33,0.18,0,0.44,0,0.02,0,14.66,0,0,0,0.01,0.32,1.56,0.28,0.62,,
WG0157,lake_inlet,9/28/21 18:16,,52.55,,6.24,,,440.07,22.02,0.01,9.69,0,0.03,0.19,0,0.53,1.55,0.05,0,0.33,0,0,0,3.24,0,0,0,0.01,0.69,1.38,0.88,3.6,-116.9,-15.344
WG0158,cabin_stream,9/27/21 16:02,,59.43,,6.25,,,500.91,25.07,0,11.53,0,0.03,0.37,0,0.49,1.27,0.06,0,0.32,0,0,0,4.44,0,0,0,0,0.36,1.45,0.24,2.28,,
WG0159,Precipitation Sampler at Tundra,9/28/21 12:00,,6.42,,5.64,,,6.47,0.32,0,0.03,0,0,0.06,0,0.32,0,0,0,0.84,0,0.02,0,0.3,0,0.02,0,0.04,0.48,1.95,0.4,0.24,,
WG0160,Precipitation Sampler at Stream Gage,9/29/21 12:00,6.6,3.78,,5.53,,,5.09,0.25,0,0.01,0,0,0.03,0,0.15,0,0,0,0.44,0,0,0.01,0.17,0,0,0,0.04,0.59,1.56,0.47,0.47,-118.49,-15.869
WG0161,Precipitation sampler at WX990,9/27/21 12:00,7.9,5.47,,5.39,,,5.28,0.26,0,0.03,0,0,0.04,0,0.27,0,0,0,0.71,0,0.02,0,0.2,0,0.01,0,0.03,0.45,0.92,0.39,0.19,,
WG0162,shrub_creek,10/25/21 11:00,,48.13,,6.27,,,448.94,22.47,0.01,9.92,0,0.05,0.23,0,0.46,1.41,0.05,0.02,0.44,0,0.17,0.01,2.88,0,0.18,0.03,0.2,1.15,1.38,0.96,8.35,-126.35,-16.847
WG0163,stream_gauge,10/25/21 12:00,,67.03,,6.39,,,537.41,26.89,0.01,13.5,0.01,0.09,0.37,0,0.46,0.76,0.07,0.02,0.34,0,0.02,0,9.29,0,0,0.03,0,0.46,1.37,0.89,2.61,-127.97,-17.203
WG0170,Forest,5/4/22 12:15,,34.41,,5.87,,,242.66,12.14,0.06,5.84,0.01,0.01,0.27,0,0.7,1.16,0.04,0,1.64,0,0.07,0,1.22,0,0,0.004835,0.024082,2.61,1.27,0.95,20.72,,
WG0171,Nellie_Juan,5/4/22 15:45,,52.37,,5.84,,,416.22,20.83,0.03,9.46,0.01,0.13,0.44,0,0.64,1.14,0.05,0,0.76,0,0.19,0.01,4.75,0,0.18,0.004304,0.209268,1.89,1.3,0.94,10.52,,
WG0184,stream_gauge,5/10/22 13:50,,72.65,,6.02,,,596.09,29.83,0.01,14.37,0,0.1,0.36,0,0.58,0.95,0.08,0,0.46,0,0.3,0,6.67,0,0.32,0.004935,0.334677,0.7,1.38,0.58,7.73,,
WG0185,shrub_creek,5/10/22 15:00,,59.5,,6.06,,,501.82,25.11,0.01,11.89,0,0.07,0.28,0,0.56,1.36,0.06,0,0.38,0,0.58,0,3.29,0,0.61,0.005168,0.644132,1.55,1.35,0.5,12.35,,
WG0186,Tundra,5/11/22 13:00,,48.86,,6.07,,,427.58,21.4,0,9.46,0,0.03,0.24,0,0.7,1.41,0.06,0,0.46,0,0.04,0,3.64,0,0.01,0.004984,0.037556,0.54,1.37,0.77,3.89,,
WG0187,shrub_creek,6/25/22 11:45,,28.82,,5.95,,,231.27,11.57,0,4.94,0,0,0.15,0,0.31,0.71,0.02,0,0.37,0,0.01,0,1.87,0,,0.005192,0.00177,0.95,1.33,0.87,3.1,,
WG0188,stream_gauge,6/25/22 13:10,,27.59,,5.85,,,193.43,9.68,0.04,4.92,0.02,0.03,0.21,0,0.23,0.29,0.03,0.01,0.43,0,0.01,0,3.47,0,,0.007195,0.01454,0.73,1.26,0.54,1.8,,
WG0189,Forest,7/6/22 10:45,,38.84,,6.04,,,367.83,18.41,0.01,7.19,0,0.04,0.25,0,0.45,0.91,0.04,0.01,0.41,0,0,0.02,1.94,0,,0.006001,0.01294,0.97,1.28,0.87,2.77,,
WG0190,Nellie_Juan,7/6/22 13:00,,35.65,,5.95,,,255.36,12.78,0.05,6.36,0.03,0.09,0.36,0,0.35,0.57,0.04,0.01,0.2,0,0.01,0,4.73,0,,0.004113,0,0.63,1.25,0.72,0.81,,
WG0191,Tundra,7/6/22 13:55,,15.97,,5.79,,,128.95,6.45,0.01,2.64,0,0.02,0.08,0,0.18,0.42,0.02,0.01,0.08,0,0,0,1.06,0,,0.00437,0,0.72,1.17,0.74,1.07,,
WG0192,Precipitation sampler at Stream Gage,6/25/22 13:15,,11.1,,,,,,,0,1.02,0,0.56,0.1,0.06,0.51,0.01,0,0.07,2.14,0,0.07,0,0.7,0.198653,,0.0501,0.675763,3.64,,,,,
WG0193,Nellie_Juan,8/4/22 13:22,,,,6.226,,,242.94,12.16,,,,,,,,,,0,0.14,0,0.01,0,4.37,0,,0.004755,0,0.2147,1.37,0.44,0.87,,
WG0194,Forest,8/4/22 11:00,,58.4,,6.13,,,561.50,28.10,,,,,,,,,,0,0.34,0,0,0,2.44,0,,0.003361,0.022494,0.9063,1.43,0.93,6.12,,
WG0195,Tundra,8/5/22 14:00,,19.8,,5.902,,,169.62,8.49,,,,,,,,,,0,0.09,0,0,0,1.47,0,,0.004274,0,0.35,1.76,0.87,2.69,,
