ISO 8601 UTC,Timestamp (UTC-09:00),Value
2022-09-20T23:45:00Z,9/20/22 14:45,0.799166197
2022-09-21T00:00:00Z,9/20/22 15:00,0.71144503
2022-09-21T00:15:00Z,9/20/22 15:15,0.712125903
2022-09-21T00:30:00Z,9/20/22 15:30,0.712175672
2022-09-21T00:45:00Z,9/20/22 15:45,0.712857235
2022-09-21T01:00:00Z,9/20/22 16:00,0.712064723
2022-09-21T01:15:00Z,9/20/22 16:15,0.71301056
2022-09-21T01:30:00Z,9/20/22 16:30,0.714326001
2022-09-21T01:45:00Z,9/20/22 16:45,0.715643863
2022-09-21T02:00:00Z,9/20/22 17:00,0.71632872
2022-09-21T02:15:00Z,9/20/22 17:15,0.7170687
2022-09-21T02:30:00Z,9/20/22 17:30,0.71775491
2022-09-21T02:45:00Z,9/20/22 17:45,0.718229463
2022-09-21T03:00:00Z,9/20/22 18:00,0.719979959
2022-09-21T03:15:00Z,9/20/22 18:15,0.720724159
2022-09-21T03:30:00Z,9/20/22 18:30,0.71971012
2022-09-21T03:45:00Z,9/20/22 18:45,0.721037867
2022-09-21T04:00:00Z,9/20/22 19:00,0.720662083
2022-09-21T04:15:00Z,9/20/22 19:15,0.719648124
2022-09-21T04:30:00Z,9/20/22 19:30,0.720179546
2022-09-21T04:45:00Z,9/20/22 19:45,0.720442705
2022-09-21T05:00:00Z,9/20/22 20:00,0.720492981
2022-09-21T05:15:00Z,9/20/22 20:15,0.720756247
2022-09-21T05:30:00Z,9/20/22 20:30,0.720167713
2022-09-21T05:45:00Z,9/20/22 20:45,0.720430854
2022-09-21T06:00:00Z,9/20/22 21:00,0.720694086
2022-09-21T06:15:00Z,9/20/22 21:15,0.722877682
2022-09-21T06:30:00Z,9/20/22 21:30,0.71930496
2022-09-21T06:45:00Z,9/20/22 21:45,0.721114178
2022-09-21T07:00:00Z,9/20/22 22:00,0.720469196
2022-09-21T07:15:00Z,9/20/22 22:15,0.719030338
2022-09-21T07:30:00Z,9/20/22 22:30,0.719505657
2022-09-21T07:45:00Z,9/20/22 22:45,0.720194106
2022-09-21T08:00:00Z,9/20/22 23:00,0.719818716
2022-09-21T08:15:00Z,9/20/22 23:15,0.719443518
2022-09-21T08:30:00Z,9/20/22 23:30,0.719068514
2022-09-21T08:45:00Z,9/20/22 23:45,0.717844571
2022-09-21T09:00:00Z,9/21/22 0:00,0.718475906
2022-09-21T09:15:00Z,9/21/22 0:15,0.71852599
2022-09-21T09:30:00Z,9/21/22 0:30,0.718151454
2022-09-21T09:45:00Z,9/21/22 0:45,0.716505421
2022-09-21T10:00:00Z,9/21/22 1:00,0.716979035
2022-09-21T10:15:00Z,9/21/22 1:15,0.71639354
2022-09-21T10:30:00Z,9/21/22 1:30,0.805224918
2022-09-21T10:45:00Z,9/21/22 1:45,0.893423588
2022-09-21T11:00:00Z,9/21/22 2:00,0.802061055
2022-09-21T11:15:00Z,9/21/22 2:15,0.802760843
2022-09-21T11:30:00Z,9/21/22 2:30,0.803584317
2022-09-21T11:45:00Z,9/21/22 2:45,0.88868769
2022-09-21T12:00:00Z,9/21/22 3:00,0.88900011
2022-09-21T12:15:00Z,9/21/22 3:15,0.888524496
2022-09-21T12:30:00Z,9/21/22 3:30,0.888836853
2022-09-21T12:45:00Z,9/21/22 3:45,0.890396002
2022-09-21T13:00:00Z,9/21/22 4:00,0.887361385
2022-09-21T13:15:00Z,9/21/22 4:15,0.888723323
2022-09-21T13:30:00Z,9/21/22 4:30,0.974051522
2022-09-21T13:45:00Z,9/21/22 4:45,0.975755256
2022-09-21T14:00:00Z,9/21/22 5:00,0.88932989
2022-09-21T14:15:00Z,9/21/22 5:15,0.888066357
2022-09-21T14:30:00Z,9/21/22 5:30,0.893645101
2022-09-21T14:45:00Z,9/21/22 5:45,0.974512916
2022-09-21T15:00:00Z,9/21/22 6:00,0.97341113
2022-09-21T15:15:00Z,9/21/22 6:15,0.973460691
2022-09-21T15:30:00Z,9/21/22 6:30,0.974373763
2022-09-21T15:45:00Z,9/21/22 6:45,0.974711388
2022-09-21T16:00:00Z,9/21/22 7:00,0.976128361
2022-09-21T16:15:00Z,9/21/22 7:15,0.9738728
2022-09-21T16:30:00Z,9/21/22 7:30,0.973708495
2022-09-21T16:45:00Z,9/21/22 7:45,0.974259832
2022-09-21T17:00:00Z,9/21/22 8:00,0.972583288
2022-09-21T17:15:00Z,9/21/22 8:15,0.97378326
2022-09-21T17:30:00Z,9/21/22 8:30,0.971820286
2022-09-21T17:45:00Z,9/21/22 8:45,0.97301931
2022-09-21T18:00:00Z,9/21/22 9:00,0.972493845
2022-09-21T18:15:00Z,9/21/22 9:15,1.057147405
2022-09-21T18:30:00Z,9/21/22 9:30,0.970869742
2022-09-21T18:45:00Z,9/21/22 9:45,0.970919143
2022-09-21T19:00:00Z,9/21/22 10:00,0.972331211
2022-09-21T19:15:00Z,9/21/22 10:15,0.972668094
2022-09-21T19:30:00Z,9/21/22 10:30,0.972142809
2022-09-21T19:45:00Z,9/21/22 10:45,0.972192265
2022-09-21T20:00:00Z,9/21/22 11:00,0.971093086
2022-09-21T20:15:00Z,9/21/22 11:15,0.97221867
2022-09-21T20:30:00Z,9/21/22 11:30,0.971693622
2022-09-21T20:45:00Z,9/21/22 11:45,0.885223976
2022-09-21T21:00:00Z,9/21/22 12:00,0.885011828
2022-09-21T21:15:00Z,9/21/22 12:15,0.886632017
2022-09-21T21:30:00Z,9/21/22 12:30,0.8879927
2022-09-21T21:45:00Z,9/21/22 12:45,0.888304763
2022-09-21T22:00:00Z,9/21/22 13:00,0.890523523
2022-09-21T22:15:00Z,9/21/22 13:15,0.890047013
2022-09-21T22:30:00Z,9/21/22 13:30,0.889570756
2022-09-21T22:45:00Z,9/21/22 13:45,0.889094752
2022-09-21T23:00:00Z,9/21/22 14:00,0.890789385
2022-09-21T23:15:00Z,9/21/22 14:15,0.891825705
2022-09-21T23:30:00Z,9/21/22 14:30,0.891085108
2022-09-21T23:45:00Z,9/21/22 14:45,0.895093915
2022-09-22T00:00:00Z,9/21/22 15:00,0.893294004
2022-09-22T00:15:00Z,9/21/22 15:15,0.893607893
2022-09-22T00:30:00Z,9/21/22 15:30,0.895508355
2022-09-22T00:45:00Z,9/21/22 15:45,0.897412852
2022-09-22T01:00:00Z,9/21/22 16:00,0.896402649
2022-09-22T01:15:00Z,9/21/22 16:15,0.896717615
2022-09-22T01:30:00Z,9/21/22 16:30,0.898624667
2022-09-22T01:45:00Z,9/21/22 16:45,0.897945933
2022-09-22T02:00:00Z,9/21/22 17:00,0.898261429
2022-09-22T02:15:00Z,9/21/22 17:15,0.897250262
2022-09-22T02:30:00Z,9/21/22 17:30,0.809079258
2022-09-22T02:45:00Z,9/21/22 17:45,0.897153244
2022-09-22T03:00:00Z,9/21/22 18:00,0.897203267
2022-09-22T03:15:00Z,9/21/22 18:15,0.895399104
2022-09-22T03:30:00Z,9/21/22 18:30,0.89571369
2022-09-22T03:45:00Z,9/21/22 18:45,0.894441019
2022-09-22T04:00:00Z,9/21/22 19:00,0.805684164
2022-09-22T04:15:00Z,9/21/22 19:15,0.894609197
2022-09-22T04:30:00Z,9/21/22 19:30,0.893602131
2022-09-22T04:45:00Z,9/21/22 19:45,0.892596198
2022-09-22T05:00:00Z,9/21/22 20:00,0.890801301
2022-09-22T05:15:00Z,9/21/22 20:15,0.888553296
2022-09-22T05:30:00Z,9/21/22 20:30,0.889653837
2022-09-22T05:45:00Z,9/21/22 20:45,0.888389773
2022-09-22T06:00:00Z,9/21/22 21:00,0.88791434
2022-09-22T06:15:00Z,9/21/22 21:15,0.887701452
2022-09-22T06:30:00Z,9/21/22 21:30,0.886964233
2022-09-22T06:45:00Z,9/21/22 21:45,0.885965768
