datetime,shrub,forest,tundra,nellie,glacier,gage
2021-01-02T07:00:00Z,0.923007126,NA,NA,4.375754958,NA,NA
2021-01-02T07:15:00Z,NA,NA,NA,NA,NA,NA
2021-01-02T07:30:00Z,0.915485794,NA,NA,4.375754958,NA,NA
2021-01-02T07:45:00Z,NA,NA,NA,NA,NA,NA
2021-01-02T08:00:00Z,0.923404389,NA,NA,4.367790346,NA,NA
2021-01-02T08:15:00Z,NA,NA,NA,NA,NA,NA
2021-01-02T08:30:00Z,0.939114102,NA,NA,4.351825927,NA,NA
2021-01-02T08:45:00Z,NA,NA,NA,NA,NA,NA
2021-01-02T09:00:00Z,0.931229849,NA,NA,4.351825927,NA,NA
2021-01-02T09:15:00Z,NA,NA,NA,NA,NA,NA
2021-01-02T09:30:00Z,0.930407112,NA,NA,4.367860228,NA,NA
2021-01-02T09:45:00Z,NA,NA,NA,NA,NA,NA
2021-01-02T10:00:00Z,0.946051603,NA,NA,4.375859972,NA,NA
2021-01-02T10:15:00Z,NA,NA,NA,NA,NA,NA
2021-01-02T10:30:00Z,0.954661408,NA,NA,4.343895747,NA,NA
2021-01-02T10:45:00Z,NA,NA,NA,NA,NA,NA
2021-01-02T11:00:00Z,0.962931068,NA,NA,4.351895555,NA,NA
2021-01-02T11:15:00Z,NA,NA,NA,NA,NA,NA
2021-01-02T11:30:00Z,0.978213235,NA,NA,4.343895747,NA,NA
2021-01-02T11:45:00Z,NA,NA,NA,NA,NA,NA
2021-01-02T12:00:00Z,0.986077524,NA,NA,4.359895363,NA,NA
2021-01-02T12:15:00Z,NA,NA,NA,NA,NA,NA
2021-01-02T12:30:00Z,0.978665101,NA,NA,4.343895747,NA,NA
2021-01-02T12:45:00Z,NA,NA,NA,NA,NA,NA
2021-01-02T13:00:00Z,0.994565132,NA,NA,4.35186074,NA,NA
2021-01-02T13:15:00Z,NA,NA,NA,NA,NA,NA
2021-01-02T13:30:00Z,1.025761491,NA,NA,4.32789613,NA,NA
2021-01-02T13:45:00Z,NA,NA,NA,NA,NA,NA
2021-01-02T14:00:00Z,1.033074021,NA,NA,4.32789613,NA,NA
2021-01-02T14:15:00Z,NA,NA,NA,NA,NA,NA
2021-01-02T14:30:00Z,1.056123167,NA,NA,4.311931009,NA,NA
2021-01-02T14:45:00Z,NA,NA,NA,NA,NA,NA
2021-01-02T15:00:00Z,1.080429353,NA,NA,4.335826567,NA,NA
2021-01-02T15:15:00Z,NA,NA,NA,NA,NA,NA
2021-01-02T15:30:00Z,1.04195229,NA,NA,4.343965248,NA,NA
2021-01-02T15:45:00Z,NA,NA,NA,NA,NA,NA
2021-01-02T16:00:00Z,1.037776642,NA,NA,4.295931265,NA,NA
2021-01-02T16:15:00Z,NA,NA,NA,NA,NA,NA
2021-01-02T16:30:00Z,1.033652898,NA,NA,4.303965568,NA,NA
2021-01-02T16:45:00Z,NA,NA,NA,NA,NA,NA
2021-01-02T17:00:00Z,1.012305843,NA,NA,4.287965696,NA,NA
2021-01-02T17:15:00Z,NA,NA,NA,NA,NA,NA
2021-01-02T17:30:00Z,1.029376831,NA,NA,4.303862276,NA,NA
2021-01-02T17:45:00Z,NA,NA,NA,NA,NA,NA
2021-01-02T18:00:00Z,0.998241194,NA,NA,4.295965632,NA,NA
2021-01-02T18:15:00Z,NA,NA,NA,NA,NA,NA
2021-01-02T18:30:00Z,1.021871213,NA,NA,4.279931521,NA,NA
2021-01-02T18:45:00Z,NA,NA,NA,NA,NA,NA
2021-01-02T19:00:00Z,1.006650233,NA,NA,4.287965696,NA,NA
2021-01-02T19:15:00Z,NA,NA,NA,NA,NA,NA
2021-01-02T19:30:00Z,1.023086867,NA,NA,4.311931009,NA,NA
2021-01-02T19:45:00Z,NA,NA,NA,NA,NA,NA
2021-01-02T20:00:00Z,1.01549422,NA,NA,4.279931521,NA,NA
2021-01-02T20:15:00Z,NA,NA,NA,NA,NA,NA
