site,Datetime,Temperature,SpC,DO,pH,TDS,Turbidity,Al,As,Ba,Ca,Cr,Cu,Fe,K,Mg,Mn,Mo,Na,Ni,Pb,Sb,Se,V,Zn,Chloride,Nitrate,Sulfate,Ammonium_N,Nitrate_plus_Nitrite_N,Phosphate_P,DOC,FI,d18O,d2H
tundra_longlake,9/12/16 11:29,7.7,22,,6.59,11,,,,,,,,,,,,,,,,,,,,,,,,,,0.38,,-14,-99.94
Tundra,4/28/17 11:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,-14.9,-107.11
Tundra,5/10/17 15:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.82,,-16.49,-123.49
Tundra,6/15/17 20:09,2.7,16,,7.04,,,,,,4.36,,,,0.05,0.09,,,0.37,,,,,,,,,,0,0.022,0,0.34,,-17.06,-129.35
Tundra,6/17/17 17:24,3.1,12,,6.89,,,,,,4.53,,,,0.06,0.1,,,0.38,,,,,,,,,,0,0,0,0.3,,-16.38,-126.02
Tundra,6/18/17 16:21,3.6,14,,6.99,,,,,,4.29,,,,0.03,0.09,,,0.33,,,,,,,,,,0,0,0,0.33,,-16.79,-120.74
Tundra,7/21/17 11:44,10.1,12,,7.12,,,,,,4.71,,,,0.07,0.13,,,0.18,,,,,,,,,,0.0942,0.027,0,0.38,,-16.02,-118.01
Tundra,7/23/17 16:14,13.1,19,,7.29,,,,,,4.02,,,,0.08,0.13,,,0.2,,,,,,,,,,0,0,0,0.26,,-15.45,-115.81
Tundra,7/24/17 11:50,19.6,13,,6.8,,,,,,2.7,,,,0.09,0.04,,,0.05,,,,,,,,,,0,0,0,0.56,,-15.78,-116.41
Tundra,9/8/17 12:40,6.6,28,11.16,7.11,,17,,,,5.73,,,,0.13,0.25,,,0.3,,,,,,,,,,,,,0.71,,-15.4,-115.39
Tundra,9/10/17 13:30,7.3,28,11.05,7.34,,1,,,,5.57,,,,0.13,0.24,,,0.34,,,,,,,,,,,,,0.6,,-15.47,-117.61
Tundra,9/12/17 9:40,6.6,30,11.4,7.27,,0,,,,8.18,,,,0.11,0.06,,,0.07,,,,,,,,,,,,,0.5,,-15.43,-118.25
tundra_tcamp,8/15/16 9:45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.39,,-11.34,-85.87
tundra_tcamp,8/16/16 14:14,10.9,86,,8.2,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tundra_tcamp,8/16/16 18:10,10.7,91,,8.13,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tundra_tcamp,8/17/16 9:45,10.2,101,,8.26,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tundra_tcamp,8/17/16 14:45,10.9,66,,8.08,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tundra_tcamp,8/17/16 17:45,10.9,78,,7.94,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tundra_tcamp,8/18/16 9:45,9.9,91,,8.07,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tundra_tcamp,8/18/16 14:44,12.3,94,,8.09,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tundra_tcamp,8/18/16 17:45,13.4,97,,8.02,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tundra_tcamp,8/19/16 9:50,10.3,113,,8.06,56,,,,,,,,,,,,,,,,,,,,,,,,,,0.64,,-12.12,-90.87
tundra_tcamp,8/19/16 14:45,11.4,118,,7.73,58,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,-12.03,-89.21
tundra_tcamp,8/19/16 17:45,12,123,,7.9,62,,,,,,,,,,,,,,,,,,,,,,,,,,0.61,,-12.21,-92.18
tundra_tcamp,8/20/16 9:50,10.8,140,,8.1,70,,,,,,,,,,,,,,,,,,,,,,,,,,0.55,,-12.54,-92.64
tundra_tcamp,8/20/16 14:50,13,136,,7.87,68,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,-12.61,-94.18
tundra_tcamp,8/20/16 17:48,13.8,140,,7.19,70,,,,,,,,,,,,,,,,,,,,,,,,,,0.57,,-12.58,-94.06
tundra_tcamp,8/21/16 9:45,11,146,,7.73,73,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,-12.63,-96.04
tundra_tcamp,8/21/16 18:55,10.9,149,,7.5,75,,,,,,,,,,,,,,,,,,,,,,,,,,0.52,,-13.04,-98.43
tundra_tcamp,8/22/16 9:45,10,159,,8.1,80,,,,,,,,,,,,,,,,,,,,,,,,,,0.53,,-13.02,-98.52
tundra_tcamp,8/22/16 17:45,11,74,,7.4,37,,,,,,,,,,,,,,,,,,,,,,,,,,1.13,,-11.6,-89.3
tundra_tcamp,8/23/16 9:45,10.1,89,,7.77,44,,,,,,,,,,,,,,,,,,,,,,,,,,0.88,,-12.23,-93.17
tundra_tcamp,8/23/16 17:45,10.9,89,,7.25,44,,,,,,,,,,,,,,,,,,,,,,,,,,0.92,,-12.49,-93.26
tundra_tcamp,8/24/16 9:45,10.5,95,,7.99,47,,,,,,,,,,,,,,,,,,,,,,,,,,0.85,,-12.37,-92.17
tundra_tcamp,8/24/16 17:45,11.5,71,,7.77,36,,,,,,,,,,,,,,,,,,,,,,,,,,1.1,,-11.54,-84.95
tundra_tcamp,8/25/16 14:00,11.8,78,,7.7,39,,,,,,,,,,,,,,,,,,,,,,,,,,0.87,,-12.71,-94.96
tundra_tcamp2,8/18/16 15:20,11.8,124,,8.2,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tundra_tcamp2,8/19/16 15:10,10.1,136,,8.01,68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tundra_tcamp2,8/20/16 15:05,11.1,147,,8,73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tundra_tcamp2,8/23/16 18:25,10.1,55,,7.71,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tundra_waterfall,6/1/16 12:10,8.4,24,,7.87,12,,,,,,,,,,,,,,,,,,,,,,,,,,0.45,1.34,-15.93,-116.76
tundra_waterfall,7/16/16 11:59,16.3,49,,8.05,25,,,,,,,,,,,,,,,,,,,,,,,,,,0.44,,-15.2,-110.76
tundra_waterfall,7/17/16 13:08,16.3,49,,7.6,25,,,,,,,,,,,,,,,,,,,,,,,,,,0.49,,-15.05,-110.39
tundra_waterfall,9/8/16 11:33,8.5,62,,7.78,31,,,,,,,,,,,,,,,,,,,,,,,,,,1.32,,-14.13,-106.66
tundra_waterfall,9/11/16 12:14,7.5,60,,7.61,29,,,,,,,,,,,,,,,,,,,,,,,,,,1.26,,-14.05,-104.04
tundra_west,5/31/16 14:52,2.6,11,,7.85,5,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,,-16.03,-118.3
tundra_west,6/1/16 14:30,1.4,21,,7.82,11,,,,,,,,,,,,,,,,,,,,,,,,,,0.27,1.38,-17.59,-128.91
tundra_west,7/14/16 15:44,15.5,17,,6.72,9,,,,,,,,,,,,,,,,,,,,,,,,,,0.26,,-15.28,-111.93
tundra_west,9/8/16 13:51,7.7,43,,7.73,21,,,,,,,,,,,,,,,,,,,,,,,,,,0.18,,-13.85,-104.76
tundra_west,9/11/16 13:40,6.8,38,,7.65,19,,,,,,,,,,,,,,,,,,,,,,,,,,0.26,,-14,-104.6
tundra_west,9/12/16 12:16,8.1,23,,7.51,11,,,,,,,,,,,,,,,,,,,,,,,,,,0.65,,-13,-95.65
